Recipient,Amount
5CcU6DRpocLUWYJHuNLjB4gGyHJrkWuruQD5XFbRYffCfSAP,0.0005
5DXgK3ZhPgs5jpyT8NETkmiVmErLJh2f4LMeb6MTn41BsvTE,0.0005
5E4A6fPyb2GnL3PtKTKK5zwJzA4oXWJ27UxVsGc6kxdNUVtf,0.000329598
5FbuqWiD7rdUCZ3GF45rNyXr8Uig82zzYGarL5vb2GdcPDje,0.006189287
5GdStZNfxnwYamGu6RkktLLcJE2U4fTcuXyQWLpyp6Q7LS1S,0.02385
5EgPAkbxJfELKKfkEWSA2i1eHL22r4qvZ1jP9hBBpoWwLefD,0.00594
5F6nxRvB1pGwsxV8ndZfVMXSZsUkjP2JP9snNVSoufNYnqTv,0.06
5EgPAkbxJfELKKfkEWSA2i1eHL22r4qvZ1jP9hBBpoWwLefD,0.002964
5CqemHeuPe6YoUtmmwXa2Em8sPDSMBj7qemYKPqaaXteD7nW,0.45
5G1PoC28ztcKXtkhZWw91i21n3YLgtTikLcDY3z8KAD9h7Dq,0.150727145
5CD34fPZQyV44EpDYLHVppfUnDN2rUenuajTYgZMBnXooY5m,0.005002156
5EvDrRVa147QMFJfN3Rzosuq4LM1V44XRaH9KWmDry3JwaTW,0.003
5FTfqw4ZozwqmRqMtV15naSuLAkjZgthrzwkn9sbjoFz6xoA,0.219
5FTfqw4ZozwqmRqMtV15naSuLAkjZgthrzwkn9sbjoFz6xoA,0.009
5HoTwRLHpHBJ5EKTyXUwY69DwutjjH5ajAnrSW9Gb9Nv3WSQ,0.0354
5Gpi4Siy12cKnujFJM9oQ9dWgFMzTpDmJidWQVUv97sxxKGe,0.03
5FFErfW1R5DS9uEpAd1aRybTiZM6kewAMJVBeVWYovgEnBay,0.15
5FFErfW1R5DS9uEpAd1aRybTiZM6kewAMJVBeVWYovgEnBay,0.15
5CGwW5WJ3ES7G7WJKtqsRwb2WANBH5u9PxhFTqvRpjWMpodz,1.332
5CBY9MuPVwZnmNZXedrWu91ddXKHpE7bS5ci9NzDT2Ze9wUL,0.015
5HFNuEku98vAz15NMAQp3fbMZnpP6v3omdvsDqdQ1GhnigEr,0.0444
5HFNuEku98vAz15NMAQp3fbMZnpP6v3omdvsDqdQ1GhnigEr,0.044399881
5GSsEcmvZsZgsipzi6corGW4cD8nsnnatHCF4LPH5uLk9his,0.0303
5DtF7LHMNkCWjCAVQ281gBNb7oNNbDfrFsFWWRtr1JAs5wCH,0.00150585
5DFYx3Hq7wG5144HJxZ6Md2sXgbTyM8evkAksZHtETR5BPYa,0.001768775
5DFYx3Hq7wG5144HJxZ6Md2sXgbTyM8evkAksZHtETR5BPYa,0.000778681
5DFYx3Hq7wG5144HJxZ6Md2sXgbTyM8evkAksZHtETR5BPYa,0.002742153
5DFYx3Hq7wG5144HJxZ6Md2sXgbTyM8evkAksZHtETR5BPYa,0.002375809
5GmiYa3bsqohEEWbuKSyNafESnEHfGCYRp14P6dr8QFUCbmB,0.006
5GmiYa3bsqohEEWbuKSyNafESnEHfGCYRp14P6dr8QFUCbmB,0.012
5Gji3zbTNsJ65VuKkZR9TwDRi4uT8Qgztizy5SzyZTLcHkyd,0.027
5G1mq99y26k1vccJ2iz5BeeT5qqmWfyLef4CnaJG6cYNAdzF,0.00033
5HdgZijbBmuLS4zu4DLK7YGkWme79weubbWaqkZu9TyWVmQT,0.003
5DfJ7tbV881yBif3qVgCddpW6A1quUWALzZHasp1j8MtnHX9,0.15
5DfJ7tbV881yBif3qVgCddpW6A1quUWALzZHasp1j8MtnHX9,0.110026027
5DAmVs17SG4EENijweQZu7sV64ugnQfekBQfw3cK8dzi2mZG,0.002238
5DoJeL6xb1hi2nfUqUhfgbcso3Wa6dLRcckDjBmy7aZ8ieAh,0.00045
5DoJeL6xb1hi2nfUqUhfgbcso3Wa6dLRcckDjBmy7aZ8ieAh,0.00045
5HoTwRLHpHBJ5EKTyXUwY69DwutjjH5ajAnrSW9Gb9Nv3WSQ,0.03
5Hn2Xejx6J6Wq7bJPB7m9KH9Daj8LB7unD4aAsVUAM35BogH,0.00945
5DAmVs17SG4EENijweQZu7sV64ugnQfekBQfw3cK8dzi2mZG,0.0024678
5GmiYa3bsqohEEWbuKSyNafESnEHfGCYRp14P6dr8QFUCbmB,0.0045
5GVg7wyL3MfZV4PCL7pGWWfccB1oCKfdzhum9JyBcHZb4MJJ,0.90
5DEcNmW2aexfRAxNoA1YkL7Frqv1bTWteKrDP77Wp2zqyC8e,0.30
5HKy8VX1PBPxh249Ag7QRdHwGEjZFhDi7vGDDRbem33vnRhX,0.0003
5FX56YqiXbiK49XEwWHaqwqzEvv6zix7AiX2SqHV8aR4mjo1,0.000301123
5FX56YqiXbiK49XEwWHaqwqzEvv6zix7AiX2SqHV8aR4mjo1,0.004070356
5FecUVTvrTQ1zxRTjzNHLmuPJA5zz2rh9e9Fhqq3sdBLAXUH,0.00945
5HFNuEku98vAz15NMAQp3fbMZnpP6v3omdvsDqdQ1GhnigEr,0.0072
5GGEq42jK7bDrmcTFyL9MzrspSJiZK7HNyrQ8eLTbx33yucy,0.167796921
5HTVMS9tCz6F4ZaFCFZktUnmDk1JTk7rqNezQM8DvsCeBeuw,0.001469481
