extrinsic_id,recipient,amount,refundableMethod
4944128-0009,5CcU6DRpocLUWYJHuNLjB4gGyHJrkWuruQD5XFbRYffCfSAP,0.0005,addStake
4945432-0005,5DXgK3ZhPgs5jpyT8NETkmiVmErLJh2f4LMeb6MTn41BsvTE,0.0005,addStake
4950638-0006,5E4A6fPyb2GnL3PtKTKK5zwJzA4oXWJ27UxVsGc6kxdNUVtf,0.000329598,addStake
4950985-0004,5FbuqWiD7rdUCZ3GF45rNyXr8Uig82zzYGarL5vb2GdcPDje,0.006189287,addStake
4951074-0008,5GdStZNfxnwYamGu6RkktLLcJE2U4fTcuXyQWLpyp6Q7LS1S,0.02385,addStake
4951196-0006,5EgPAkbxJfELKKfkEWSA2i1eHL22r4qvZ1jP9hBBpoWwLefD,0.00594,removeStake
4951250-0006,5F6nxRvB1pGwsxV8ndZfVMXSZsUkjP2JP9snNVSoufNYnqTv,0.06,removeStake
4951258-0003,5EgPAkbxJfELKKfkEWSA2i1eHL22r4qvZ1jP9hBBpoWwLefD,0.002964,addStake
4951365-0004,5CqemHeuPe6YoUtmmwXa2Em8sPDSMBj7qemYKPqaaXteD7nW,0.45,addStake
4951370-0004,5G1PoC28ztcKXtkhZWw91i21n3YLgtTikLcDY3z8KAD9h7Dq,0.150727145,removeStake
4951445-0007,5CD34fPZQyV44EpDYLHVppfUnDN2rUenuajTYgZMBnXooY5m,0.005002156,removeStake
4951492-0008,5EvDrRVa147QMFJfN3Rzosuq4LM1V44XRaH9KWmDry3JwaTW,0.003,removeStake
4951609-0005,5FTfqw4ZozwqmRqMtV15naSuLAkjZgthrzwkn9sbjoFz6xoA,0.219,addStake
4951772-0004,5FTfqw4ZozwqmRqMtV15naSuLAkjZgthrzwkn9sbjoFz6xoA,0.009,removeStake
4951888-0006,5HoTwRLHpHBJ5EKTyXUwY69DwutjjH5ajAnrSW9Gb9Nv3WSQ,0.0354,removeStake
4951914-0011,5Gpi4Siy12cKnujFJM9oQ9dWgFMzTpDmJidWQVUv97sxxKGe,0.03,removeStake
4951959-0005,5FFErfW1R5DS9uEpAd1aRybTiZM6kewAMJVBeVWYovgEnBay,0.15,addStake
4951968-0006,5FFErfW1R5DS9uEpAd1aRybTiZM6kewAMJVBeVWYovgEnBay,0.15,addStake
4951989-0006,5CGwW5WJ3ES7G7WJKtqsRwb2WANBH5u9PxhFTqvRpjWMpodz,1.332,removeStake
4952114-0010,5CBY9MuPVwZnmNZXedrWu91ddXKHpE7bS5ci9NzDT2Ze9wUL,0.015,removeStake
4952192-0005,5HFNuEku98vAz15NMAQp3fbMZnpP6v3omdvsDqdQ1GhnigEr,0.0444,addStake
4952222-0004,5HFNuEku98vAz15NMAQp3fbMZnpP6v3omdvsDqdQ1GhnigEr,0.044399881,removeStake
4952340-0008,5GSsEcmvZsZgsipzi6corGW4cD8nsnnatHCF4LPH5uLk9his,0.0303,removeStake
4952351-0004,5DtF7LHMNkCWjCAVQ281gBNb7oNNbDfrFsFWWRtr1JAs5wCH,0.00150585,removeStake
4952450-0003,5DFYx3Hq7wG5144HJxZ6Md2sXgbTyM8evkAksZHtETR5BPYa,0.001768775,removeStake
4952467-0003,5DFYx3Hq7wG5144HJxZ6Md2sXgbTyM8evkAksZHtETR5BPYa,0.000778681,removeStake
4952476-0011,5DFYx3Hq7wG5144HJxZ6Md2sXgbTyM8evkAksZHtETR5BPYa,0.002742153,removeStake
4952481-0004,5DFYx3Hq7wG5144HJxZ6Md2sXgbTyM8evkAksZHtETR5BPYa,0.002375809,removeStake
4952482-0008,5GmiYa3bsqohEEWbuKSyNafESnEHfGCYRp14P6dr8QFUCbmB,0.006,removeStake
4952494-0006,5GmiYa3bsqohEEWbuKSyNafESnEHfGCYRp14P6dr8QFUCbmB,0.012,removeStake
4952500-0008,5Gji3zbTNsJ65VuKkZR9TwDRi4uT8Qgztizy5SzyZTLcHkyd,0.027,removeStake
4952524-0007,5G1mq99y26k1vccJ2iz5BeeT5qqmWfyLef4CnaJG6cYNAdzF,0.00033,addStake
4952531-0006,5HdgZijbBmuLS4zu4DLK7YGkWme79weubbWaqkZu9TyWVmQT,0.003,removeStake
4952667-0005,5DfJ7tbV881yBif3qVgCddpW6A1quUWALzZHasp1j8MtnHX9,0.15,removeStake
4952739-0007,5DfJ7tbV881yBif3qVgCddpW6A1quUWALzZHasp1j8MtnHX9,0.110026027,removeStake
4952804-0002,5DAmVs17SG4EENijweQZu7sV64ugnQfekBQfw3cK8dzi2mZG,0.002238,addStake
4952864-0010,5DoJeL6xb1hi2nfUqUhfgbcso3Wa6dLRcckDjBmy7aZ8ieAh,0.00045,removeStake
4952884-0017,5DoJeL6xb1hi2nfUqUhfgbcso3Wa6dLRcckDjBmy7aZ8ieAh,0.00045,addStake
4953066-0008,5HoTwRLHpHBJ5EKTyXUwY69DwutjjH5ajAnrSW9Gb9Nv3WSQ,0.03,removeStake
4953136-0003,5Hn2Xejx6J6Wq7bJPB7m9KH9Daj8LB7unD4aAsVUAM35BogH,0.00945,removeStake
4953167-0006,5DAmVs17SG4EENijweQZu7sV64ugnQfekBQfw3cK8dzi2mZG,0.0024678,addStake
4953260-0008,5GmiYa3bsqohEEWbuKSyNafESnEHfGCYRp14P6dr8QFUCbmB,0.0045,removeStake
4953286-0008,5GVg7wyL3MfZV4PCL7pGWWfccB1oCKfdzhum9JyBcHZb4MJJ,0.90,addStake
4953556-0002,5DEcNmW2aexfRAxNoA1YkL7Frqv1bTWteKrDP77Wp2zqyC8e,0.30,removeStake
4953674-0009,5HKy8VX1PBPxh249Ag7QRdHwGEjZFhDi7vGDDRbem33vnRhX,0.0003,removeStake
4953861-0003,5FX56YqiXbiK49XEwWHaqwqzEvv6zix7AiX2SqHV8aR4mjo1,0.000301123,removeStake
4953868-0006,5FX56YqiXbiK49XEwWHaqwqzEvv6zix7AiX2SqHV8aR4mjo1,0.004070356,removeStake
4954075-0004,5FecUVTvrTQ1zxRTjzNHLmuPJA5zz2rh9e9Fhqq3sdBLAXUH,0.00945,removeStake
4954125-0007,5HFNuEku98vAz15NMAQp3fbMZnpP6v3omdvsDqdQ1GhnigEr,0.0072,addStake
4954520-0009,5GGEq42jK7bDrmcTFyL9MzrspSJiZK7HNyrQ8eLTbx33yucy,0.167796921,removeStake
4954795-0007,5HTVMS9tCz6F4ZaFCFZktUnmDk1JTk7rqNezQM8DvsCeBeuw,0.001469481,addStake
